nome_repositorio,url,estrelas,data_criacao,idade_em_dias,idade_em_anos,total_pull_requests,total_pull_requests_aceitas,total_releases,data_ultima_atualizacao,dias_desde_ultima_atualizacao,linguagem_primaria,linguagens,total_issues,issues_abertas,issues_fechadas,razao_issues_fechadas,media_prs_aceitas_linguagem,media_releases_linguagem,media_dias_desde_atualizacao_linguagem
langfuse/langfuse,https://github.com/langfuse/langfuse,33396,18/05/2023,1189,3.3,9835,7590,657,19/08/2026,0,JavaScript,"JavaScript, TypeScript, CSS, Dockerfile, PLpgSQL, Shell, Python, MDX, HTML",2869,299,2570,0.8958,4153.66,207.36,93.73
AFNetworking/AFNetworking,https://github.com/AFNetworking/AFNetworking,33394,31/05/2011,5558,15.2,1517,710,40,17/01/2023,1310,Objective-C,"Objective-C, Ruby, Swift, C, Shell",0,0,0,,1534.25,182.5,331.5
nicolargo/glances,https://github.com/nicolargo/glances,33383,04/12/2011,5372,14.7,1138,829,61,18/08/2026,1,Python,"Python, Shell, JavaScript, Dockerfile, Makefile, SCSS, Vue, HTML, Jinja, Jupyter Notebook",2220,96,2124,0.9568,4381.96,96.0,134.19
lutzroeder/netron,https://github.com/lutzroeder/netron,33369,26/12/2010,5715,15.7,291,1,9,18/08/2026,1,JavaScript,"JavaScript, Python, HTML, CSS, Shell",1272,15,1257,0.9882,4153.66,207.36,93.73
MetaCubeX/mihomo,https://github.com/MetaCubeX/mihomo,33365,20/05/2021,1917,5.3,629,323,62,18/08/2026,1,Python,Python,1984,449,1535,0.7737,4381.96,96.0,134.19
mckaywrigley/chatbot-ui,https://github.com/mckaywrigley/chatbot-ui,33338,11/03/2023,1257,3.4,797,281,0,03/08/2024,746,TypeScript,"TypeScript, JavaScript, CSS, Shell, PLpgSQL",1012,193,819,0.8093,3951.0,209.41,39.23
google/comprehensive-rust,https://github.com/google/comprehensive-rust,33316,21/12/2022,1337,3.7,2817,2512,0,05/08/2026,14,JavaScript,"JavaScript, AIDL, Rust, Shell, Java, C, CSS, Handlebars, Makefile, Assembly",373,117,256,0.6863,4153.66,207.36,93.73
remix-run/remix,https://github.com/remix-run/remix,33311,26/10/2020,2123,5.8,5511,4039,639,19/08/2026,0,JavaScript,"JavaScript, TypeScript, Shell, HTML, CSS, Lua",2775,28,2747,0.9899,4153.66,207.36,93.73
motiondivision/motion,https://github.com/motiondivision/motion,33286,16/11/2018,2833,7.8,1579,1284,0,19/08/2026,0,Makefile,"Makefile, TypeScript, JavaScript, HTML, Dockerfile, CSS",1943,104,1839,0.9465,6824.34,158.88,82.6
alibaba/nacos,https://github.com/alibaba/nacos,33280,15/06/2018,2987,8.2,5347,3891,98,19/08/2026,0,Java,"Java, Shell, Batchfile, JavaScript, TypeScript, SCSS, EJS, PLpgSQL, PLSQL, Makefile",9785,167,9618,0.9829,1668.22,57.66,146.66
zeromicro/go-zero,https://github.com/zeromicro/go-zero,33264,07/08/2020,2203,6.0,3646,2511,154,17/08/2026,2,Go,"Go, Makefile, ANTLR, Dockerfile, Smarty, Shell, TypeScript, Lua, Go Template",1995,107,1888,0.9464,3162.76,209.72,80.52
dgtlmoon/changedetection.io,https://github.com/dgtlmoon/changedetection.io,33251,27/01/2021,2030,5.6,1520,1171,216,16/08/2026,3,Python,"Python, Dockerfile, HTML, JavaScript, Shell, SCSS",1744,316,1428,0.8188,4381.96,96.0,134.19
waydabber/BetterDisplay,https://github.com/waydabber/BetterDisplay,33235,24/10/2021,1760,4.8,15,2,133,18/08/2026,0,,,3289,219,3070,0.9334,1575.95,5.59,292.54
certbot/certbot,https://github.com/certbot/certbot,33205,12/11/2014,4298,11.8,5130,4131,72,18/08/2026,1,Python,"Python, Shell, Makefile, Batchfile, Augeas, Dockerfile, Smarty, DIGITAL Command Language, Standard ML",5572,122,5450,0.9781,4381.96,96.0,134.19
linshenkx/prompt-optimizer,https://github.com/linshenkx/prompt-optimizer,33198,12/02/2025,553,1.5,96,60,47,13/08/2026,6,HTML,"HTML, JavaScript, Vue, TypeScript, CSS, Shell, Dockerfile, Batchfile",224,7,217,0.9688,2959.28,84.38,78.49
bilibili/ijkplayer,https://github.com/bilibili/ijkplayer,33196,03/06/2013,4825,13.2,231,35,0,13/08/2024,736,Shell,"Shell, Java, Makefile, C, Objective-C, C++, Ruby",5382,2837,2545,0.4729,6587.32,101.51,68.88
vbenjs/vue-vben-admin,https://github.com/vbenjs/vue-vben-admin,33172,11/07/2020,2230,6.1,3203,1919,63,19/08/2026,0,JavaScript,"JavaScript, TypeScript, HTML, Vue, Shell, CSS, SCSS, Dockerfile",4136,73,4063,0.9824,4153.66,207.36,93.73
qier222/YesPlayMusic,https://github.com/qier222/YesPlayMusic,33170,09/10/2020,2140,5.9,434,297,32,14/06/2026,66,JavaScript,"JavaScript, HTML, Vue, CSS, Shell, Dockerfile, SCSS, Nix",1849,646,1203,0.6506,4153.66,207.36,93.73
cursor/cursor,https://github.com/cursor/cursor,33143,12/03/2023,1256,3.4,98,49,0,12/05/2026,99,,,0,0,0,,1575.95,5.59,292.54
pear-devs/pear-desktop,https://github.com/pear-devs/pear-desktop,33121,19/04/2019,2679,7.3,2027,1659,88,19/08/2026,0,JavaScript,"JavaScript, HTML, CSS, TypeScript",2078,543,1535,0.7387,4153.66,207.36,93.73
Leey21/awesome-ai-research-writing,https://github.com/Leey21/awesome-ai-research-writing,33117,30/01/2026,201,0.6,11,0,0,19/08/2026,0,,,26,5,21,0.8077,1575.95,5.59,292.54
datawhalechina/happy-llm,https://github.com/datawhalechina/happy-llm,33068,28/05/2024,813,2.2,73,30,3,08/08/2026,11,Jupyter Notebook,"Jupyter Notebook, Python",134,53,81,0.6045,257.0,7.23,134.46
immutable-js/immutable-js,https://github.com/immutable-js/immutable-js,33039,02/07/2014,4431,12.1,982,682,100,17/08/2026,2,JavaScript,"JavaScript, TypeScript, Shell, CSS, MDX",1276,99,1177,0.9224,4153.66,207.36,93.73
binarywang/WxJava,https://github.com/binarywang/WxJava,33031,06/01/2016,3878,10.6,1539,1274,31,18/08/2026,1,Java,"Java, Shell",2531,11,2520,0.9957,1668.22,57.66,146.66
ibraheemdev/modern-unix,https://github.com/ibraheemdev/modern-unix,33018,12/01/2021,2045,5.6,65,15,0,10/09/2024,708,,,85,55,30,0.3529,1575.95,5.59,292.54
